previous_frame,current_frame
1392098,1392099
1392099,1392100
1392101,1392102
1392102,1392103
1392107,1392108
1392108,1392109
1392109,1392110
1392110,1392111
1392112,1392113
1392113,1392114
1392114,1392115
1392115,1392116
1392120,1392121
1392121,1392122
1392170,1392171
1392171,1392172
1392172,1392173
1392173,1392174
1392378,1392379
1403511,1403512
1412590,1412591
1413000,1413001
1539741,1539742
1540032,1540033
1540044,1540045
1540067,1540068
1540090,1540091
1540128,1540129
1540131,1540132
1540133,1540134
1540134,1540135
1540136,1540137
1540146,1540147
1540147,1540148
1540148,1540149
1540149,1540150
1540150,1540151
1540210,1540211
1540213,1540214
1540214,1540215
1540222,1540223
1540284,1540285
1540285,1540286
1540440,1540441
1540452,1540453
1540628,1540629
1543369,1543370
1543370,1543371
1543373,1543374
1543374,1543375
1543395,1543396
1543396,1543397
1543400,1543401
1543401,1543402
1543407,1543408
1543409,1543410
1543412,1543413
1543416,1543417
1543418,1543419
1543419,1543420
1762781,1762782
1762782,1762783
1762785,1762786
1762786,1762787
1762787,1762788
1762789,1762790
1762793,1762794
1762794,1762795
1762804,1762805
1762805,1762806
1762806,1762807
1762807,1762808
1762808,1762809
1762809,1762810
1762842,1762843
1762872,1762873
1784458,1784459
1784459,1784460
1784494,1784495
1784566,1784567
1784572,1784573
1784573,1784574
1887040,1887041
1887041,1887042
1887049,1887050
1887050,1887051
1887052,1887053
1887054,1887055
1887069,1887070
1887070,1887071
1887073,1887074
1887074,1887075
1887078,1887079
1887080,1887081
1887086,1887087
1887090,1887091
1887095,1887096
1891066,1891067
1891067,1891068
1891070,1891071
1891071,1891072
1891072,1891073
1891073,1891074
1901606,1901607
1901619,1901620
1902019,1902020
1902191,1902192
1902216,1902217
1902499,1902500
1948964,1948965
2014045,2014046
2014046,2014047
2098117,2098118
2098118,2098119
2098122,2098123
2098139,2098140
2098150,2098151
2098183,2098184
2102404,2102405
2102417,2102418
2119298,2119299
2126206,2126207
2126207,2126208
2126210,2126211
2126211,2126212
2134867,2134868
2134868,2134869
2163016,2163017
2163017,2163018
2163032,2163033
2163062,2163063
2163131,2163132
2163151,2163152
2163242,2163243
2163243,2163244
2163281,2163282
2163309,2163310
2163310,2163311
2163336,2163337
2163337,2163338
2163355,2163356
2163356,2163357
2163364,2163365
2172503,2172504
2173019,2173020
2173020,2173021
2174560,2174561
2174674,2174675
2175023,2175024
2175024,2175025
2175220,2175221
2175221,2175222
2176835,2176836
2176836,2176837
2179624,2179625
2179745,2179746
2179908,2179909
2179911,2179912
2181405,2181406
2181433,2181434
2181434,2181435
2181453,2181454
2181454,2181455
2181478,2181479
2181479,2181480
2181523,2181524
2181524,2181525
2181610,2181611
2181611,2181612
2181806,2181807
2181807,2181808
2181950,2181951
2181951,2181952
2182281,2182282
2182293,2182294
2182295,2182296
